date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:18:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jan%202024%2006:48:43%20GMT	http://www.tirupurexpress.com/public/uploads/listing_category_photos/2867de87954b1ff9f94c044cf4bbe149.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_category_photos/2867de87954b1ff9f94c044cf4bbe149.jpg	(from https://www.tirupurexpress.com/)
12:18:44	18534/18534	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jan%202024%2006:48:43%20GMT	https://www.tirupurexpress.com/listing/category/computers	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/listing/category/computers.html	(from https://www.tirupurexpress.com/)
12:18:45	32280/32280	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Apr%202022%2005:27:46%20GMT	https://www.tirupurexpress.com/public/uploads/listing_category_photos/2867de87954b1ff9f94c044cf4bbe149.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_category_photos/2867de87954b1ff9f94c044cf4bbe149.jpg	(from https://www.tirupurexpress.com/)
12:18:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jan%202024%2006:48:45%20GMT	http://www.tirupurexpress.com/public/uploads/listing_category_photos/23090040187818a2df294b577a9d2f98.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_category_photos/23090040187818a2df294b577a9d2f98.jpg	(from https://www.tirupurexpress.com/)
12:18:46	19051/19051	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jan%202024%2006:48:45%20GMT	https://www.tirupurexpress.com/listing/category/waterpurifiers	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/listing/category/waterpurifiers.html	(from https://www.tirupurexpress.com/)
12:18:46	60580/60580	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20May%202022%2012:20:44%20GMT	https://www.tirupurexpress.com/public/uploads/listing_category_photos/23090040187818a2df294b577a9d2f98.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_category_photos/23090040187818a2df294b577a9d2f98.jpg	(from https://www.tirupurexpress.com/)
12:18:47	18606/18606	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jan%202024%2006:48:47%20GMT	https://www.tirupurexpress.com/listing/category/homeautomation	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/listing/category/homeautomation.html	(from https://www.tirupurexpress.com/)
12:18:48	219074/219074	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Apr%202022%2013:33:59%20GMT	https://www.tirupurexpress.com/public/uploads/listing_banner_photos/d29f273f9681e9a9edd4d3f7aebbf05c.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_banner_photos/d29f273f9681e9a9edd4d3f7aebbf05c.jpg	(from https://www.tirupurexpress.com/)
12:18:48	189219/189219	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Jul%202022%2011:38:07%20GMT	https://www.tirupurexpress.com/public/uploads/listing_banner_photos/79b774211a4e1535d980205a0c89c27e.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_banner_photos/79b774211a4e1535d980205a0c89c27e.jpg	(from https://www.tirupurexpress.com/)
12:18:49	44956/44956	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jan%202024%2006:48:49%20GMT	https://www.tirupurexpress.com/listing/artocreativestudio	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/listing/artocreativestudio.html	(from https://www.tirupurexpress.com/)
12:18:49	184595/184595	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Jun%202022%2013:10:32%20GMT	https://www.tirupurexpress.com/public/uploads/listing_banner_photos/24c753eec542ee2cb566e07b02d79db1.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_banner_photos/24c753eec542ee2cb566e07b02d79db1.jpg	(from https://www.tirupurexpress.com/)
12:18:50	115816/115816	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Apr%202022%2013:36:29%20GMT	https://www.tirupurexpress.com/public/uploads/listing_banner_photos/f919dfb8efa475deb9c8ca6667c8b231.jpg	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/listing_banner_photos/f919dfb8efa475deb9c8ca6667c8b231.jpg	(from https://www.tirupurexpress.com/)
